QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanantion
Q_0025,Speed Quiz,Text,SQ_25,أي يوم يأتي بعد الجمعة؟,الأحد,السبت,الاثنين,يوم الخميس,2,السبت يأتي بعد الجمعة.
Q_0026,Speed Quiz,Text,SQ_26,ما هو عكس الساخن؟,دافيء,جاف,بارد,رائع,3,والبرد هو عكس الساخن.
Q_0027,Speed Quiz,Text,SQ_27,أي جزء من النبات يصنع الغذاء؟,ينبع,ورقة,ورد,جذر,2,تصنع الأوراق الغذاء عن طريق عملية التمثيل الضوئي.
Q_0028,Speed Quiz,Text,SQ_28,ما هو مصدر الطاقة الرئيسي للأرض؟,كهرباء,الفحم,شمس,رياح,3,الشمس هي المصدر الرئيسي للطاقة.
Q_0029,Speed Quiz,Text,SQ_29,ما هو الحيوان المعروف بخطوطه السوداء والبيضاء؟,حمار وحشي,حصان,نمر,بقرة,1,الحمار الوحشي لديه خطوط سوداء وبيضاء.
Q_0030,Speed Quiz,Text,SQ_30,كم عدد الألوان الموجودة في قوس قزح؟,7,6,8,5,1,هناك 7 ألوان في قوس قزح.
Q_0031,Speed Quiz,Image,IMG_001,ما هو الحيوان الذي يظهر في الصورة؟,فوكس,الباندا الحمراء,الراكون,قطة,2,تظهر الصورة الباندا الحمراء.
Q_0032,Speed Quiz,Image,IMG_002,ما الفاكهة المعروضة؟,ليتشي,البابايا,الجوافة,فاكهة التنين,4,هذه فاكهة التنين.
Q_0033,Speed Quiz,Image,IMG_003,أي كائن هذا؟,ساعة,بوصلة,عداد السرعة,ساعة توقيت,4,الكائن عبارة عن ساعة توقيت.
Q_0034,Speed Quiz,Image,IMG_004,أي طائر يظهر؟,الطاووس,بجعة,ببغاء,ديك رومى,1,الطائر طاووس.
Q_0035,Speed Quiz,Image,IMG_005,ما هي السيارة المعروضة؟,طائرة شراعية,بدون طيار,هليكوبتر,منطاد الهواء الساخن,4,هذا منطاد الهواء الساخن.
Q_0036,Speed Quiz,Image,IMG_006,ما هي الأداة المعروضة؟,القيثارة,غيتار,التشيلو,كمان,4,الصك هو الكمان.
Q_0037,Speed Quiz,Image,IMG_007,ما هو الحيوان الذي يظهر؟,كوالا,الباندا,كسل,دُبٌّ,1,الحيوان كوالا.
Q_0038,Speed Quiz,Image,IMG_008,ما هي الأداة المعروضة؟,مطرقة,رأى,كماشة,وجع,4,الأداة عبارة عن وجع.
Q_0039,Speed Quiz,Image,IMG_009,ما هي حالة الطقس الموضحة؟,البرق,مطر,ثلج,ضباب,1,الصورة تظهر البرق.
Q_0040,Speed Quiz,Image,IMG_010,أي مخلوق بحري يظهر؟,الحبار,كراب,الأخطبوط,قنديل البحر,3,المخلوق هو الأخطبوط.
Q_0041,Speed Quiz,Image,IMG_011,ما هي الفاكهة التي تظهر؟,مانجو,كيوي,الأفوكادو,كُمَّثرَى,3,هذه ثمرة أفوكادو.
Q_0042,Speed Quiz,Image,IMG_012,ما هو الحيوان الذي يظهر؟,والابي,عزيزي,الظباء,كنغر,4,الحيوان هو الكنغر.
Q_0043,Speed Quiz,Image,IMG_013,أي كائن هذا؟,ساعة,الساعة الرملية,بوصلة,الموقت,2,هذه ساعة رملية.
Q_0044,Speed Quiz,Image,IMG_014,ما الزواحف التي تظهر؟,الإغوانا,سحلية,أبو بريص,حرباء,4,الزواحف هي الحرباء.
Q_0045,Speed Quiz,Image,IMG_015,ما هي الأداة التي تظهر؟,منقلة,بوصلة,حاكم,شريط قياس,4,هذا شريط قياس.
Q_0046,Speed Quiz,Image,IMG_016,ما هو الحيوان الذي يظهر؟,القنفذ,الخلد,أرماديلو,النيص,1,الحيوان هو القنفذ.
Q_0047,Speed Quiz,Image,IMG_017,أي كائن يظهر؟,أرض,رسم خريطة,كرة,الكرة الأرضية,4,هذه الكرة الأرضية.
Q_0048,Speed Quiz,Image,IMG_018,ما هي الفاكهة التي تظهر؟,العنب,شجر العليق - أجهزة البلاك بيري,الكشمش,التوت,4,هذه هي العنب البري.
Q_0049,Speed Quiz,Image,IMG_019,ما هو الحيوان الذي يظهر؟,اللقلق,Heron,رافعة,فلامنغو,4,الطائر هو فلامنغو.
Q_0050,Speed Quiz,Image,IMG_020,ما هي الأداة المعروضة؟,كونغا,بونغو,طبل,الطبلة,3,هذه طبلة.
Q_0051,Speed Quiz,Image,IMG_021,ما هو الحيوان الذي يظهر؟,اللاما,غنم,الألبكة,جمل,3,الحيوان هو الألبكة.
Q_0052,Speed Quiz,Image,IMG_022,أي كائن هذا؟,مجهر,بيريسكوب,تلسكوب,مناظير,1,هذا هو المجهر.
Q_0053,Speed Quiz,Image,IMG_023,ما هي الفاكهة التي تظهر؟,رمان,الجوافة,تفاحة,Plum,1,هذه رمانة.
Q_0054,Speed Quiz,Image,IMG_024,ما هو الحيوان الذي يظهر؟,كوالا,قرد,ليمور,كسل,4,الحيوان كسلان.
Q_0055,Speed Quiz,Image,IMG_025,أي كائن يظهر؟,مقياس الارتفاع,ساعة,بوصلة,ميزان الحرارة,3,هذه بوصلة.
Q_0056,Speed Quiz,Image,IMG_026,ما هو الحيوان الذي يظهر؟,القنفذ,الخلد,النيص,أرماديلو,4,الحيوان هو المدرع.
Q_0057,Speed Quiz,Image,IMG_027,ما هي الفاكهة التي تظهر؟,جوزة الهند,خبز,البابايا,البطيخ,1,هذه جوز الهند.
Q_0058,Speed Quiz,Image,IMG_028,ما هي الأداة التي تظهر؟,مقص,المشبك,كماشة,ملقط,3,الأداة هي كماشة.
Q_0059,Speed Quiz,Image,IMG_029,أي طائر يظهر؟,نسر,هوك,فالكون,بُومَة,4,الطائر بومة.
Q_0060,Speed Quiz,Image,IMG_030,ما هو الحيوان الذي يظهر؟,قضاعة,النمس,الميركات,كلب البراري,3,الحيوان هو الميركات.
Q_0061,Geo Explorer,Text,GE_01,ما هي عاصمة اليابان؟,بكين,كيوتو,طوكيو,سيول,3,طوكيو هي عاصمة اليابان.
Q_0062,Geo Explorer,Text,GE_02,ما هي عاصمة الهند؟,مومباي,تشيناي,نيودلهي,كولكاتا,3,نيودلهي هي عاصمة الهند.
Q_0063,Geo Explorer,Text,GE_03,أي نهر هو الأطول في الهند؟,جودافاري,الجانج,براهمابوترا,يامونا,2,نهر الجانج هو أطول نهر في الهند.
Q_0064,Geo Explorer,Text,GE_04,ما هي الدولة المعروفة بأرض الشمس المشرقة؟,تايلاند,اليابان,الصين,كوريا,2,تسمى اليابان بأرض الشمس المشرقة.
Q_0065,Geo Explorer,Text,GE_05,ما هي السلسلة الجبلية التي تفصل بين الهند والصين؟,روكي,الأنديز,جبال الألب,جبال الهيمالايا,4,جبال الهيمالايا تفصل بين الهند والصين.
Q_0066,Geo Explorer,Text,GE_06,ما هي الصحراء التي تقع بشكل رئيسي في الهند؟,جوبي,ثار,كالاهاري,الصحراء,2,تقع صحراء ثار في الهند.
Q_0067,Geo Explorer,Text,GE_07,ما هي الدولة الآسيوية التي لديها أكبر عدد من السكان؟,الصين,اليابان,أندونيسيا,الهند,1,الصين لديها أكبر عدد من السكان.
Q_0068,Geo Explorer,Text,GE_08,ما هي الولاية الهندية التي لديها أطول خط ساحلي؟,ولاية غوجارات,ولاية اندرا براديش,تاميل نادو,ولاية كيرالا,1,ولاية غوجارات لديها أطول خط ساحلي.
Q_0069,Geo Explorer,Text,GE_09,في أي دولة تقع نيبال؟,أوروبا,أفريقيا,آسيا,أستراليا,3,تقع نيبال في آسيا.
Q_0070,Geo Explorer,Text,GE_10,ما هي المدينة المعروفة بالعاصمة المالية للهند؟,تشيناي,بنغالورو,دلهي,مومباي,4,مومباي هي العاصمة المالية للهند.
Q_0071,Geo Explorer,Text,GE_11,ما هو النهر الذي يتدفق عبر بنغلاديش والهند؟,الفرات,دجلة,السند,براهمابوترا,4,يتدفق نهر براهمابوترا عبر الهند وبنغلاديش.
Q_0072,Geo Explorer,Text,GE_12,ما هو البحر الذي يقع جنوب الهند؟,البحر الأحمر,بحر قزوين,البحر الأبيض المتوسط,بحر العرب,4,بحر العرب يقع جنوب الهند.
Q_0073,Geo Explorer,Text,GE_13,ما هي الدولة الأقرب إلى سريلانكا؟,الهند,أندونيسيا,ماليزيا,تايلاند,1,سريلانكا تقع بالقرب من الهند.
Q_0074,Geo Explorer,Text,GE_14,ما هي الدولة الآسيوية التي عاصمتها بانكوك؟,فيتنام,لاوس,تايلاند,كمبوديا,3,بانكوك هي عاصمة تايلاند.
Q_0075,Geo Explorer,Text,GE_15,ما هي القارة التي تنتمي إليها الهند؟,أفريقيا,آسيا,أوروبا,أستراليا,2,الهند جزء من آسيا.
Q_0076,Geo Explorer,Text,GE_16,ما هي الدولة التي يوجد بها برج إيفل؟,إسبانيا,فرنسا,إيطاليا,ألمانيا,2,برج ايفل موجود في فرنسا.
Q_0077,Geo Explorer,Text,GE_17,أي محيط هو الأكبر في العالم؟,هندي,القطب الشمالي,الأطلسي,المحيط الهادئ,4,المحيط الهادئ هو الأكبر.
Q_0078,Geo Explorer,Text,GE_18,ما هي المدينة المعروفة باسم التفاحة الكبيرة؟,لوس أنجلوس,شيكاغو,نيويورك,بوسطن,3,نيويورك تسمى التفاحة الكبيرة.
Q_0079,Geo Explorer,Text,GE_19,ما هي الدولة التي يوجد بها سور الصين العظيم؟,الصين,الهند,منغوليا,اليابان,1,سور الصين العظيم موجود في الصين.
Q_0080,Geo Explorer,Text,GE_20,في أي قارة تقع مصر؟,أستراليا,أفريقيا,آسيا,أوروبا,2,مصر تقع في أفريقيا.
Q_0081,Geo Explorer,Text,GE_21,ما هي الدولة التي عاصمتها روما؟,إيطاليا,إسبانيا,البرتغال,فرنسا,1,روما هي عاصمة إيطاليا.
Q_0082,Geo Explorer,Text,GE_22,ما هو النهر الذي يتدفق عبر باريس؟,الدانوب,التايمز,الراين,السين,4,يتدفق نهر السين عبر باريس.
Q_0083,Geo Explorer,Text,GE_23,ما هي القارة الأكثر برودة؟,القارة القطبية الجنوبية,أفريقيا,آسيا,أوروبا,1,القارة القطبية الجنوبية هي أبرد قارة.
Q_0084,Geo Explorer,Text,GE_24,ما هي الدولة التي على شكل حذاء؟,إسبانيا,إيطاليا,فرنسا,اليونان,2,إيطاليا تبدو وكأنها حذاء.
Q_0085,Geo Explorer,Text,GE_25,"ما هي الدولة التي تعرف أيضا باسم ""أسفل تحت""؟",الأرجنتين,جنوب أفريقيا,نيوزيلندا,أستراليا,4,أستراليا تسمى بالأسفل.
Q_0086,Geo Explorer,Text,GE_26,ما هو المحيط الذي يقع غرب أفريقيا؟,المحيط الهادئ,الأطلسي,القطب الشمالي,هندي,2,يقع المحيط الأطلسي غرب أفريقيا.
Q_0087,Geo Explorer,Text,GE_27,ما هي المدينة المشهورة بتمثال الحرية؟,روما,باريس,نيويورك,واشنطن العاصمة,3,تمثال الحرية موجود في نيويورك.
Q_0088,Geo Explorer,Text,GE_28,أي بلد لديه أكبر عدد من الجزر؟,اليابان,السويد,فيلبيني,أندونيسيا,2,السويد لديها أكبر عدد من الجزر.
Q_0089,Geo Explorer,Text,GE_29,ما هي الدولة التي عاصمتها كانبيرا؟,نيوزيلندا,كندا,المملكة المتحدة,أستراليا,4,كانبيرا هي عاصمة أستراليا.
Q_0090,Geo Explorer,Text,GE_30,ما هي القارة التي لديها أكبر عدد من البلدان؟,أفريقيا,أمريكا الجنوبية,آسيا,أوروبا,1,أفريقيا لديها أكبر عدد من البلدان.
Q_0091,Geo Explorer,Image,IMG_031,ما هو المعلم الموضح؟,تاج محل,القلعة الحمراء,قطب منار,بوابة الهند,1,هذا هو تاج محل.
Q_0092,Geo Explorer,Image,IMG_032,ما هي خريطة الدولة المعروضة؟,أستراليا,نيوزيلندا,الأرجنتين,جنوب أفريقيا,1,الخريطة هي أستراليا.
Q_0093,Geo Explorer,Image,IMG_033,أي أفق المدينة يظهر؟,نيويورك,شيكاغو,بوسطن,لوس أنجلوس,1,هذه مدينة نيويورك.
Q_0094,Geo Explorer,Image,IMG_034,ما هي الصحراء التي تظهر؟,جوبي,ثار,أتاكاما,الصحراء,3,هذه هي صحراء أتاكاما.
Q_0095,Geo Explorer,Image,IMG_035,أي جبل يظهر؟,كليمنجارو,ايفرست,فوجي,دينالي,1,هذا هو جبل كليمنجارو.
Q_0096,Geo Explorer,Image,IMG_036,ما هو علم الدولة الذي يظهر؟,سويسرا,الدنمارك,النمسا,كندا,4,هذا هو علم كندا.
Q_0097,Geo Explorer,Image,IMG_037,أي نهر يظهر؟,أمازون,النيل,السند,Yangtze,2,هذا هو نهر النيل.
Q_0098,Geo Explorer,Image,IMG_038,ما هو المعلم الموضح؟,الكولوسيوم,جسر الميناء,مارينا باي ساندز,دار الأوبرا,4,هذه هي دار الأوبرا في سيدني.
Q_0099,Geo Explorer,Image,IMG_039,ما هي خريطة القارة المعروضة؟,آسيا,أمريكا الجنوبية,أفريقيا,أوروبا,2,هذه أمريكا الجنوبية.
Q_0100,Geo Explorer,Image,IMG_040,ما هو مخطط الدولة الذي يظهر؟,جنوب أفريقيا,زيمبابوي,بوتسوانا,ناميبيا,1,هذه هي جنوب أفريقيا.
Q_0101,Geo Explorer,Image,IMG_041,أي مدينة تظهر؟,روما,مدريد,فيينا,باريس,4,هذه باريس.
Q_0102,Geo Explorer,Image,IMG_042,أي بركان يظهر؟,فيزوف,كراكاتوا,فوجي,إتنا,4,This is Mount Etna.
Q_0103,Geo Explorer,Image,IMG_043,أي شلال يظهر؟,Angel Falls,شلالات فيكتوريا,شلالات اجوازو,شلالات نياجرا,4,هذه شلالات نياجرا.
Q_0104,Geo Explorer,Image,IMG_044,ما هي خريطة الدولة المعروضة؟,فيتنام,كوريا,الصين,اليابان,4,هذه هي اليابان.
Q_0105,Geo Explorer,Image,IMG_045,أي دولة جزيرة تظهر؟,أيسلندا,اسكتلندا,جرينلاند,أيرلندا,1,هذه هي أيسلندا.
Q_0106,Geo Explorer,Image,IMG_046,أي أفق المدينة يظهر؟,طوكيو,شنغهاي,سيول,أوساكا,1,هذه طوكيو.
Q_0107,Geo Explorer,Image,IMG_047,ما هي الصحراء التي تظهر؟,كالاهاري,موهافي,الصحراء,جوبي,4,هذه هي صحراء جوبي.
Q_0108,Geo Explorer,Image,IMG_048,ما هي سلسلة الجبال التي تظهر؟,روكي,الأنديز,جبال الهيمالايا,جبال الألب,2,هذه هي جبال الأنديز.
Q_0109,Geo Explorer,Image,IMG_049,ما هي دلتا النهر الموضحة؟,النيل,أمازون,ميكونج,نهر الغانج,4,هذه هي دلتا نهر الجانج.
Q_0110,Geo Explorer,Image,IMG_050,ما هو مخطط الدولة الذي يظهر؟,النرويج,السويد,الدنمارك,فنلندا,1,هذه هي النرويج.
Q_0111,Geo Explorer,Image,IMG_051,ما هو المعلم الموضح؟,الأكروبوليس,المنتدى,البانثيون,الكولوسيوم,4,هذا هو الكولوسيوم.
Q_0112,Geo Explorer,Image,IMG_052,أي مدينة تظهر؟,أبو ظبي,دبي,الرياض,الدوحة,2,هذه دبي.
Q_0113,Geo Explorer,Image,IMG_053,أي بحر يظهر؟,بحر البلطيق,البحر الأبيض المتوسط,البحر الأسود,البحر الأحمر,2,هذا هو البحر الأبيض المتوسط.
Q_0114,Geo Explorer,Image,IMG_054,أي جزيرة تظهر؟,فوكيت,لومبوك,جافا,بالي,4,هذه بالي.
Q_0115,Geo Explorer,Image,IMG_055,ما هي خريطة الدولة المعروضة؟,أوروغواي,شيلي,باراجواي,الأرجنتين,4,هذه هي الأرجنتين.
Q_0116,Geo Explorer,Image,IMG_056,أي جبل يظهر؟,إيجر,Jungfrau,مونت بلانك,ماترهورن,4,هذا هو ماترهورن.
Q_0117,Geo Explorer,Image,IMG_057,ما هو المعلم الموضح؟,أنغكور وات,تشيتشن إيتزا,ماتشو بيتشو,البتراء,4,هذه البتراء.
Q_0118,Geo Explorer,Image,IMG_058,أي نهر يظهر؟,الفولغا,الدانوب,الراين,السين,2,هذا هو نهر الدانوب.
Q_0119,Geo Explorer,Image,IMG_059,ما هو مخطط الدولة الذي يظهر؟,كولومبيا,بيرو,المكسيك,بوليفيا,3,هذه هي المكسيك.
Q_0120,Geo Explorer,Image,IMG_060,أي مدينة تظهر؟,مانشستر,لندن,دبلن,ادنبره,2,هذه لندن.
Q_0121,Geo Explorer,Video,VID_001,ما هي الدولة التي تظهر في هذا الفيديو؟,ألمانيا,إيطاليا,فرنسا,إسبانيا,3,الجواب الصحيح هو فرنسا.
Q_0122,Geo Explorer,Video,VID_002,يقع هذا المعلم في أي دولة؟,منغوليا,كوريا,اليابان,الصين,4,الجواب الصحيح هو الصين.
Q_0123,Geo Explorer,Video,VID_003,ما هي المدينة الهندية التي تظهر في هذا الفيديو؟,لكناو,أغرا,دلهي,جايبور,2,الجواب الصحيح هو اجرا.
Q_0124,Geo Explorer,Video,VID_004,أفق المدينة هذا ينتمي إلى أي بلد؟,أستراليا,كندا,المملكة المتحدة,الولايات المتحدة الأمريكية,4,الجواب الصحيح هو الولايات المتحدة الأمريكية.
Q_0125,Geo Explorer,Video,VID_005,برج إيفل موجود في أي مدينة؟,مدريد,روما,باريس,برلين,3,الجواب الصحيح هو باريس.
Q_0126,Geo Explorer,Video,VID_006,ما البناء القديم الموضح هنا؟,الكولوسيوم,المنتدى,البانثيون,الأكروبوليس,1,الجواب الصحيح هو الكولوسيوم.
Q_0127,Geo Explorer,Video,VID_007,ما هي المدينة التي يوجد بها تمثال الحرية؟,نيويورك,بوسطن,فيلادلفيا,واشنطن العاصمة,1,الجواب الصحيح هو نيويورك.
Q_0128,Geo Explorer,Video,VID_008,ماتشو بيتشو تقع في أي دولة؟,شيلي,بوليفيا,بيرو,الاكوادور,3,الجواب الصحيح هو بيرو.
Q_0129,Geo Explorer,Video,VID_009,البتراء مدينة قديمة في أي دولة؟,العراق,مصر,الأردن,إيران,3,الجواب الصحيح هو الأردن.
Q_0130,Geo Explorer,Video,VID_010,هذا التمثال يطل على أي مدينة برازيلية؟,ساو باولو,سلفادور,برازيليا,ريو دي جانيرو,4,الجواب الصحيح هو ريو دي جانيرو.
Q_0131,Geo Explorer,Video,VID_011,ما هي الأعجوبة الطبيعية التي تظهر هنا؟,شلالات اجوازو,شلالات فيكتوريا,شلالات آنجل,شلالات نياجرا,4,الإجابة الصحيحة هي شلالات نياجرا.
Q_0132,Geo Explorer,Video,VID_012,يقع جبل ايفرست على حدود نيبال وأي دولة؟,باكستان,الهند,بوتان,الصين,4,الجواب الصحيح هو الصين.
Q_0133,Geo Explorer,Video,VID_013,يقع هذا المبنى الشهير في أي مدينة؟,بيرث,ملبورن,سيدني,أوكلاند,3,الجواب الصحيح هو سيدني.
Q_0134,Geo Explorer,Video,VID_014,يقع جسر البوابة الذهبية في أي مدينة؟,سياتل,لوس أنجلوس,سان فرانسيسكو,سان دييغو,3,الجواب الصحيح هو سان فرانسيسكو.
Q_0135,Geo Explorer,Video,VID_015,أي أفق مدينة آسيوية يظهر هنا؟,بكين,سيول,طوكيو,شنغهاي,3,الجواب الصحيح هو طوكيو.
Q_0136,Geo Explorer,Video,VID_016,برج خليفة يقع في أي مدينة؟,أبو ظبي,دبي,الدوحة,الرياض,2,الجواب الصحيح هو دبي.
Q_0137,Geo Explorer,Video,VID_017,ما هي المدينة الأوروبية المشهورة بهذه القنوات؟,أمستردام,بروج,البندقية,كوبنهاغن,3,الجواب الصحيح هو البندقية.
Q_0138,Geo Explorer,Video,VID_018,يقع معبد أنغكور وات في أي دولة؟,لاوس,كمبوديا,تايلاند,فيتنام,2,الجواب الصحيح هو كمبوديا.
Q_0139,Geo Explorer,Video,VID_019,الحاجز المرجاني العظيم يقع قبالة سواحل أي دولة؟,فيلبيني,أندونيسيا,أستراليا,ماليزيا,3,الإجابة الصحيحة هي أستراليا.
Q_0140,Geo Explorer,Video,VID_020,تقع هذه الغابات المطيرة في المقام الأول في أي قارة؟,أمريكا الجنوبية,آسيا,أفريقيا,أستراليا,1,الإجابة الصحيحة هي أمريكا الجنوبية.
Q_0141,Geo Explorer,Video,VID_021,أي وادي مشهور هذا؟,يلوستون,جراند كانيون,يوسمايت,صهيون,2,إنه جراند كانيون في الولايات المتحدة الأمريكية.
Q_0142,Geo Explorer,Video,VID_022,تقع هذه الأهرامات في أي دولة؟,بيرو,المكسيك,السودان,مصر,4,وهي أهرامات الجيزة في مصر.
Q_0143,Geo Explorer,Video,VID_023,ماذا تسمى هذه الدائرة الحجرية القديمة؟,افيبوري,كارناك,نيوجرانج,ستونهنج,4,إنه ستونهنج في المملكة المتحدة.
Q_0144,Geo Explorer,Video,VID_024,ما هو الجبل الشهير الذي يظهر هنا؟,جبل ايفرست,جبل فوجي,جبل كليمنجارو,ماترهورن,2,إنه جبل فوجي في اليابان.
Q_0145,Geo Explorer,Video,VID_025,"ما هو الشلال المعروف باسم ""الدخان الرعد""؟",شلالات نياجرا,شلالات آنجل,شلالات اجوازو,شلالات فيكتوريا,4,إنها شلالات فيكتوريا.
Q_0146,Geo Explorer,Video,VID_026,تقع هذه المدينة الجزيرة ذات اللون الأبيض في أي بلد؟,اليونان,ديك رومى,إيطاليا,إسبانيا,1,إنها سانتوريني في اليونان.
Q_0147,Geo Explorer,Video,VID_027,تعرف على مجمع القصر الإمبراطوري هذا.,المدينة المحرمة,سور الصين العظيم,قصر الصيف,معبد السماء,1,إنها المدينة المحرمة في بكين.
Q_0148,Geo Explorer,Video,VID_028,أين يقع هذا الفندق على شكل شراع؟,دبي,أبو ظبي,المنامة,الدوحة,1,إنه برج العرب في دبي.
Q_0149,Geo Explorer,Video,VID_029,ما هي المدينة التي تتميز بهذا المبنى الذي يعلوه القارب؟,سنغافورة,هونج كونج,كوالا لمبور,بانكوك,1,إنه مارينا باي ساندز في سنغافورة.
Q_0150,Geo Explorer,Video,VID_030,"ناطحة السحاب ""The Shard"" موجودة في أي مدينة؟",نيويورك,تورنتو,لندن,باريس,3,إنه ذا شارد في لندن.
Q_0151,Geo Explorer,Audio,AUD_001,إلى أي دولة ينتمي هذا النشيد الوطني؟,إسبانيا,إيطاليا,ألمانيا,فرنسا,4,الصوت يمثل النشيد الوطني لفرنسا.
Q_0152,Geo Explorer,Audio,AUD_002,هذا النشيد الوطني ينتمي لأي دولة؟,تايلاند,كوريا الجنوبية,اليابان,الصين,3,يمثل الصوت النشيد الوطني لليابان.
Q_0153,Geo Explorer,Audio,AUD_003,النشيد الوطني لأي دولة يعزف هنا؟,الهند,Nepal,سريلانكا,بنغلاديش,1,يمثل الصوت النشيد الوطني للهند.
Q_0154,Geo Explorer,Audio,AUD_004,إلى أي دولة ينتمي هذا النشيد الوطني؟,الولايات المتحدة الأمريكية,أستراليا,المملكة المتحدة,كندا,1,الصوت يمثل النشيد الوطني للولايات المتحدة الأمريكية.
Q_0155,Geo Explorer,Audio,AUD_005,هذا النشيد الوطني ينتمي لأي دولة؟,أستراليا,أيرلندا,نيوزيلندا,المملكة المتحدة,4,الصوت يمثل النشيد الوطني للمملكة المتحدة.
Q_0156,Geo Explorer,Audio,AUD_006,النشيد الوطني لأي دولة يعزف هنا؟,ألمانيا,سويسرا,بولندا,النمسا,1,الصوت يمثل النشيد الوطني لألمانيا.
Q_0157,Geo Explorer,Audio,AUD_007,إلى أي دولة ينتمي هذا النشيد الوطني؟,إيطاليا,إسبانيا,اليونان,البرتغال,1,الصوت يمثل النشيد الوطني لإيطاليا.
