QuestionID,Category,QuestionType,FolderName,Question,Option1,Option2,Option3,Option4,CorrectIndex,Explanation
Q_0067,Geo Explorer,Text,GE_07,Which Asian country has the largest population?,China,Japan,Indonesia,India,1,China has the largest population.
Q_0068,Geo Explorer,Text,GE_08,Which Indian state has the longest coastline?,Gujarat,Andhra Pradesh,Tamil Nadu,Kerala,1,Gujarat has the longest coastline.
Q_0069,Geo Explorer,Text,GE_09,Which country is Nepal located in?,Europe,Africa,Asia,Australia,3,Nepal is located in Asia.
Q_0070,Geo Explorer,Text,GE_10,Which city is known as the financial capital of India?,Chennai,Bengaluru,Delhi,Mumbai,4,Mumbai is India's financial capital.
Q_0071,Geo Explorer,Text,GE_11,Which river flows through Bangladesh and India?,Euphrates,Tigris,Indus,Brahmaputra,4,The Brahmaputra flows through India and Bangladesh.
Q_0072,Geo Explorer,Text,GE_12,Which sea lies to the south of India?,Red Sea,Caspian Sea,Mediterranean Sea,Arabian Sea,4,The Arabian Sea lies south of India.
Q_0073,Geo Explorer,Text,GE_13,Which country is Sri Lanka closest to?,India,Indonesia,Malaysia,Thailand,1,Sri Lanka lies close to India.
Q_0074,Geo Explorer,Text,GE_14,Which Asian country has Bangkok as its capital?,Vietnam,Laos,Thailand,Cambodia,3,Bangkok is the capital of Thailand.
Q_0075,Geo Explorer,Text,GE_15,Which continent is India part of?,Africa,Asia,Europe,Australia,2,India is part of Asia.
Q_0076,Geo Explorer,Text,GE_16,Which country has the Eiffel Tower?,Spain,France,Italy,Germany,2,The Eiffel Tower is in France.
Q_0077,Geo Explorer,Text,GE_17,Which ocean is the largest in the world?,Indian,Arctic,Atlantic,Pacific,4,The Pacific Ocean is the largest.
Q_0078,Geo Explorer,Text,GE_18,Which city is known as the Big Apple?,Los Angeles,Chicago,New York,Boston,3,New York is called the Big Apple.
Q_0079,Geo Explorer,Text,GE_19,Which country has the Great Wall?,China,India,Mongolia,Japan,1,The Great Wall is in China.
Q_0080,Geo Explorer,Text,GE_20,Which continent is Egypt located in?,Australia,Africa,Asia,Europe,2,Egypt is in Africa.
Q_0081,Geo Explorer,Text,GE_21,Which country has Rome as its capital?,Italy,Spain,Portugal,France,1,Rome is the capital of Italy.
Q_0082,Geo Explorer,Text,GE_22,Which river flows through Paris?,Danube,Thames,Rhine,Seine,4,The Seine flows through Paris.
Q_0083,Geo Explorer,Text,GE_23,Which continent is the coldest?,Antarctica,Africa,Asia,Europe,1,Antarctica is the coldest continent.
Q_0084,Geo Explorer,Text,GE_24,Which country is shaped like a boot?,Spain,Italy,France,Greece,2,Italy looks like a boot.
Q_0085,Geo Explorer,Text,GE_25,Which country is also known as Down Under?,Argentina,South Africa,New Zealand,Australia,4,Australia is called Down Under.
Q_0086,Geo Explorer,Text,GE_26,Which ocean lies to the west of Africa?,Pacific,Atlantic,Arctic,Indian,2,The Atlantic Ocean lies west of Africa.
Q_0087,Geo Explorer,Text,GE_27,Which city is famous for the Statue of Liberty?,Rome,Paris,New York,Washington DC,3,The Statue of Liberty is in New York.
Q_0088,Geo Explorer,Text,GE_28,Which country has the most islands?,Japan,Sweden,Philippines,Indonesia,2,Sweden has the most islands.
Q_0089,Geo Explorer,Text,GE_29,Which country has Canberra as its capital?,New Zealand,Canada,UK,Australia,4,Canberra is the capital of Australia.
Q_0090,Geo Explorer,Text,GE_30,Which continent has the most countries?,Africa,South America,Asia,Europe,1,Africa has the most countries.
Q_0091,Geo Explorer,Image,IMG_031,Which landmark is shown?,Taj Mahal,Red Fort,Qutub Minar,Gateway of India,1,This is the Taj Mahal.
Q_0092,Geo Explorer,Image,IMG_032,Which country map is shown?,Australia,New Zealand,Argentina,South Africa,1,The map is Australia.
Q_0093,Geo Explorer,Image,IMG_033,Which city skyline is shown?,New York,Chicago,Boston,Los Angeles,1,This is New York City.
Q_0094,Geo Explorer,Image,IMG_034,Which desert is shown?,Gobi,Thar,Atacama,Sahara,3,This is the Atacama Desert.
Q_0095,Geo Explorer,Image,IMG_035,Which mountain is shown?,Kilimanjaro,Everest,Fuji,Denali,1,This is Mount Kilimanjaro.
Q_0096,Geo Explorer,Image,IMG_036,Which country flag is shown?,Switzerland,Denmark,Austria,Canada,4,This is Canada’s flag.
Q_0097,Geo Explorer,Image,IMG_037,Which river is shown?,Amazon,Nile,Indus,Yangtze,2,This is the Nile River.
Q_0098,Geo Explorer,Image,IMG_038,Which landmark is shown?,Colosseum,Harbour Bridge,Marina Bay Sands,Opera House,4,This is the Sydney Opera House.
Q_0099,Geo Explorer,Image,IMG_039,Which continent map is shown?,Asia,South America,Africa,Europe,2,This is South America.
Q_0100,Geo Explorer,Image,IMG_040,Which country outline is shown?,South Africa,Zimbabwe,Botswana,Namibia,1,This is South Africa.
Q_0101,Geo Explorer,Image,IMG_041,Which city is shown?,Rome,Madrid,Vienna,Paris,4,This is Paris.
Q_0102,Geo Explorer,Image,IMG_042,Which volcano is shown?,Vesuvius,Krakatoa,Fuji,Etna,4,This is Mount Etna.
Q_0103,Geo Explorer,Image,IMG_043,Which waterfall is shown?,Angel Falls,Victoria Falls,Iguazu Falls,Niagara Falls,4,This is Niagara Falls.
Q_0104,Geo Explorer,Image,IMG_044,Which country map is shown?,Vietnam,Korea,China,Japan,4,This is Japan.
Q_0105,Geo Explorer,Image,IMG_045,Which island country is shown?,Iceland,Scotland,Greenland,Ireland,1,This is Iceland.
Q_0106,Geo Explorer,Image,IMG_046,Which city skyline is shown?,Tokyo,Shanghai,Seoul,Osaka,1,This is Tokyo.
Q_0107,Geo Explorer,Image,IMG_047,Which desert is shown?,Kalahari,Mojave,Sahara,Gobi,4,This is the Gobi Desert.
Q_0108,Geo Explorer,Image,IMG_048,Which mountain range is shown?,Rockies,Andes,Himalayas,Alps,2,These are the Andes.
Q_0109,Geo Explorer,Image,IMG_049,Which river delta is shown?,Nile,Amazon,Mekong,Ganges,4,This is the Ganges Delta.
Q_0110,Geo Explorer,Image,IMG_050,Which country outline is shown?,Norway,Sweden,Denmark,Finland,1,This is Norway.
Q_0111,Geo Explorer,Image,IMG_051,Which landmark is shown?,Acropolis,Forum,Pantheon,Colosseum,4,This is the Colosseum.
Q_0112,Geo Explorer,Image,IMG_052,Which city is shown?,Abu Dhabi,Dubai,Riyadh,Doha,2,This is Dubai.
Q_0113,Geo Explorer,Image,IMG_053,Which sea is shown?,Baltic Sea,Mediterranean Sea,Black Sea,Red Sea,2,This is the Mediterranean Sea.
Q_0114,Geo Explorer,Image,IMG_054,Which island is shown?,Phuket,Lombok,Java,Bali,4,This is Bali.
Q_0115,Geo Explorer,Image,IMG_055,Which country map is shown?,Uruguay,Chile,Paraguay,Argentina,4,This is Argentina.
Q_0116,Geo Explorer,Image,IMG_056,Which mountain is shown?,Eiger,Jungfrau,Mont Blanc,Matterhorn,4,This is the Matterhorn.
Q_0117,Geo Explorer,Image,IMG_057,Which landmark is shown?,Angkor Wat,Chichen Itza,Machu Picchu,Petra,4,This is Petra.
Q_0118,Geo Explorer,Image,IMG_058,Which river is shown?,Volga,Danube,Rhine,Seine,2,This is the Danube River.
Q_0119,Geo Explorer,Image,IMG_059,Which country outline is shown?,Colombia,Peru,Mexico,Bolivia,3,This is Mexico.
Q_0120,Geo Explorer,Image,IMG_060,Which city is shown?,Manchester,London,Dublin,Edinburgh,2,This is London.
Q_0121,Geo Explorer,Video,VID_001,Which country is shown in this video?,Germany,Italy,France,Spain,3,The correct answer is France.
Q_0122,Geo Explorer,Video,VID_002,This landmark is located in which country?,Mongolia,Korea,Japan,China,4,The correct answer is China.
Q_0123,Geo Explorer,Video,VID_003,Which Indian city appears in this video?,Lucknow,Agra,Delhi,Jaipur,2,The correct answer is Agra.
Q_0124,Geo Explorer,Video,VID_004,This city skyline belongs to which country?,Australia,Canada,UK,USA,4,The correct answer is USA.
Q_0125,Geo Explorer,Video,VID_005,The Eiffel Tower is found in which city?,Madrid,Rome,Paris,Berlin,3,The correct answer is Paris.
Q_0126,Geo Explorer,Video,VID_006,Which ancient structure is shown here?,Colosseum,Forum,Pantheon,Acropolis,1,The correct answer is Colosseum.
Q_0127,Geo Explorer,Video,VID_007,Which city is home to Statue of Liberty?,New York,Boston,Philadelphia,Washington DC,1,The correct answer is New York.
Q_0128,Geo Explorer,Video,VID_008,Machu Picchu is located in which country?,Chile,Bolivia,Peru,Ecuador,3,The correct answer is Peru.
Q_0129,Geo Explorer,Video,VID_009,Petra is an ancient city in which country?,Iraq,Egypt,Jordan,Iran,3,The correct answer is Jordan.
Q_0130,Geo Explorer,Video,VID_010,This statue overlooks which Brazilian city?,São Paulo,Salvador,Brasília,Rio de Janeiro,4,The correct answer is Rio de Janeiro.
Q_0131,Geo Explorer,Video,VID_011,Which natural wonder is shown here?,Iguazu Falls,Victoria Falls,Angel Falls,Niagara Falls,4,The correct answer is Niagara Falls.
Q_0132,Geo Explorer,Video,VID_012,Mount Everest lies on the border of Nepal and which country?,Pakistan,India,Bhutan,China,4,The correct answer is China.
Q_0133,Geo Explorer,Video,VID_013,This iconic building is located in which city?,Perth,Melbourne,Sydney,Auckland,3,The correct answer is Sydney.
Q_0134,Geo Explorer,Video,VID_014,The Golden Gate Bridge is located in which city?,Seattle,Los Angeles,San Francisco,San Diego,3,The correct answer is San Francisco.
Q_0135,Geo Explorer,Video,VID_015,Which Asian city skyline is shown here?,Beijing,Seoul,Tokyo,Shanghai,3,The correct answer is Tokyo.
Q_0136,Geo Explorer,Video,VID_016,Burj Khalifa is located in which city?,Abu Dhabi,Dubai,Doha,Riyadh,2,The correct answer is Dubai.
Q_0137,Geo Explorer,Video,VID_017,Which European city is famous for these canals?,Amsterdam,Bruges,Venice,Copenhagen,3,The correct answer is Venice.
Q_0138,Geo Explorer,Video,VID_018,Angkor Wat is located in which country?,Laos,Cambodia,Thailand,Vietnam,2,The correct answer is Cambodia.
Q_0139,Geo Explorer,Video,VID_019,The Great Barrier Reef is off the coast of which country?,Philippines,Indonesia,Australia,Malaysia,3,The correct answer is Australia.
Q_0140,Geo Explorer,Video,VID_020,This rainforest is primarily located in which continent?,South America,Asia,Africa,Australia,1,The correct answer is South America.
Q_0141,Geo Explorer,Video,VID_021,Which famous canyon is this?,Yellowstone,Grand Canyon,Yosemite,Zion,2,It is the Grand Canyon in USA.
Q_0142,Geo Explorer,Video,VID_022,These pyramids are located in which country?,Peru,Mexico,Sudan,Egypt,4,They are the Pyramids of Giza in Egypt.
Q_0143,Geo Explorer,Video,VID_023,What is this ancient stone circle called?,Avebury,Carnac,Newgrange,Stonehenge,4,It is Stonehenge in the UK.
Q_0144,Geo Explorer,Video,VID_024,Which iconic mountain is shown here?,Mount Everest,Mount Fuji,Mount Kilimanjaro,Matterhorn,2,It is Mount Fuji in Japan.
Q_0145,Geo Explorer,Video,VID_025,Which waterfall is known as 'The Smoke that Thunders'?,Niagara Falls,Angel Falls,Iguazu Falls,Victoria Falls,4,It is Victoria Falls.
Q_0146,Geo Explorer,Video,VID_026,This white-washed island town is in which country?,Greece,Turkey,Italy,Spain,1,It is Santorini in Greece.
Q_0147,Geo Explorer,Video,VID_027,Identify this imperial palace complex.,Forbidden City,Great Wall,Summer Palace,Temple of Heaven,1,It is the Forbidden City in Beijing.
Q_0148,Geo Explorer,Video,VID_028,This sail-shaped hotel is located where?,Dubai,Abu Dhabi,Manama,Doha,1,It is the Burj Al Arab in Dubai.
Q_0149,Geo Explorer,Video,VID_029,Which city features this boat-topped building?,Singapore,Hong Kong,Kuala Lumpur,Bangkok,1,It is Marina Bay Sands in Singapore.
Q_0150,Geo Explorer,Video,VID_030,This skyscraper 'The Shard' is in which city?,New York,Toronto,London,Paris,3,It is The Shard in London.
Q_0151,Geo Explorer,Audio,AUD_001,Which country does this national anthem belong to?,Spain,Italy,Germany,France,4,The audio represents the national anthem of France.
Q_0152,Geo Explorer,Audio,AUD_002,This national anthem belongs to which country?,Thailand,South Korea,Japan,China,3,The audio represents the national anthem of Japan.
Q_0153,Geo Explorer,Audio,AUD_003,Which country's national anthem is playing here?,India,Nepal,Sri Lanka,Bangladesh,1,The audio represents the national anthem of India.
Q_0154,Geo Explorer,Audio,AUD_004,Which country does this national anthem belong to?,USA,Australia,UK,Canada,1,The audio represents the national anthem of USA.
Q_0155,Geo Explorer,Audio,AUD_005,This national anthem belongs to which country?,Australia,Ireland,New Zealand,UK,4,The audio represents the national anthem of UK.
Q_0156,Geo Explorer,Audio,AUD_006,Which country's national anthem is playing here?,Germany,Switzerland,Poland,Austria,1,The audio represents the national anthem of Germany.
Q_0157,Geo Explorer,Audio,AUD_007,Which country does this national anthem belong to?,Italy,Spain,Greece,Portugal,1,The audio represents the national anthem of Italy.
Q_0158,Geo Explorer,Audio,AUD_008,This national anthem belongs to which country?,Spain,Mexico,Argentina,Portugal,1,The audio represents the national anthem of Spain.
Q_0159,Geo Explorer,Audio,AUD_009,Which country's national anthem is playing here?,USA,France,UK,Canada,4,The audio represents the national anthem of Canada.
Q_0160,Geo Explorer,Audio,AUD_010,Which country does this national anthem belong to?,New Zealand,Australia,South Africa,Canada,2,The audio represents the national anthem of Australia.
Q_0161,Geo Explorer,Audio,AUD_011,This national anthem belongs to which country?,Vietnam,Korea,Japan,China,4,The audio represents the national anthem of China.
Q_0162,Geo Explorer,Audio,AUD_012,Which country's national anthem is playing here?,Chile,Argentina,Brazil,Colombia,3,The audio represents the national anthem of Brazil.
Q_0163,Geo Explorer,Audio,AUD_013,Which country does this national anthem belong to?,Poland,Russia,Ukraine,Belarus,2,The audio represents the national anthem of Russia.
Q_0164,Geo Explorer,Audio,AUD_014,This national anthem belongs to which country?,North Korea,Japan,South Korea,China,3,The audio represents the national anthem of South Korea.
Q_0165,Geo Explorer,Audio,AUD_015,Which country's national anthem is playing here?,Mexico,Spain,Argentina,Colombia,1,The audio represents the national anthem of Mexico.
Q_0166,Geo Explorer,Audio,AUD_016,Which country does this national anthem belong to?,Argentina,Chile,Brazil,Uruguay,1,The audio represents the national anthem of Argentina.
Q_0167,Geo Explorer,Audio,AUD_017,This national anthem belongs to which country?,Egypt,Kenya,South Africa,Nigeria,3,The audio represents the national anthem of South Africa.
Q_0168,Geo Explorer,Audio,AUD_018,Which country's national anthem is playing here?,Saudi Arabia,Morocco,Jordan,Egypt,4,The audio represents the national anthem of Egypt.
Q_0169,Geo Explorer,Audio,AUD_019,Which country does this national anthem belong to?,Turkey,Greece,Italy,Cyprus,2,The audio represents the national anthem of Greece.
Q_0170,Geo Explorer,Audio,AUD_020,This national anthem belongs to which country?,Iran,Greece,Azerbaijan,Turkey,4,The audio represents the national anthem of Turkey.
Q_0171,Geo Explorer,Audio,AUD_021,Which country's national anthem is playing here?,Pakistan,Afghanistan,India,Iran,1,The audio represents the national anthem of Pakistan.
Q_0172,Geo Explorer,Audio,AUD_022,Which country does this national anthem belong to?,Cambodia,Malaysia,Vietnam,Thailand,4,The audio represents the national anthem of Thailand.
Q_0173,Geo Explorer,Audio,AUD_023,This national anthem belongs to which country?,Egypt,Lebanon,Jordan,Israel,4,The audio represents the national anthem of Israel.
Q_0174,Geo Explorer,Audio,AUD_024,Which country's national anthem is playing here?,Saudi Arabia,Kuwait,UAE,Qatar,1,The audio represents the national anthem of Saudi Arabia.
Q_0175,Geo Explorer,Audio,AUD_025,Which country does this national anthem belong to?,Singapore,Malaysia,Indonesia,Philippines,3,The audio represents the national anthem of Indonesia.
Q_0176,Geo Explorer,Audio,AUD_026,This national anthem belongs to which country?,Germany,Netherlands,Denmark,Belgium,2,The audio represents the national anthem of Netherlands.
Q_0177,Geo Explorer,Audio,AUD_027,Which country's national anthem is playing here?,Sweden,Denmark,Finland,Norway,1,The audio represents the national anthem of Sweden.
Q_0178,Geo Explorer,Audio,AUD_028,Which country does this national anthem belong to?,Switzerland,Germany,Liechtenstein,Austria,1,The audio represents the national anthem of Switzerland.
Q_0179,Geo Explorer,Audio,AUD_029,This national anthem belongs to which country?,New Zealand,Fiji,Australia,Samoa,1,The audio represents the national anthem of New Zealand.
Q_0180,Geo Explorer,Audio,AUD_030,Which country's national anthem is playing here?,Brazil,Portugal,France,Spain,2,The audio represents the national anthem of Portugal.
Q_0181,Who's That,Text,WT_01,Who founded Microsoft?,Bill Gates,Elon Musk,Mark Zuckerberg,Steve Jobs,1,Bill Gates co-founded Microsoft.
Q_0182,Who's That,Text,WT_02,Who painted the Mona Lisa?,Da Vinci,Rembrandt,Van Gogh,Picasso,1,Leonardo da Vinci painted it.
Q_0183,Who's That,Text,WT_03,Who is known as the King of Pop?,Elvis Presley,Eminem,Michael Jackson,Prince,3,Michael Jackson is the King of Pop.
Q_0184,Who's That,Text,WT_04,Who is known as the Iron Man of India?,Nehru,Gandhi,Bose,Patel,4,Sardar Vallabhbhai Patel is the Iron Man of India.
Q_0185,Who's That,Text,WT_05,Who wrote Harry Potter?,Lewis,Rowling,Tolkien,Martin,2,J.K. Rowling wrote Harry Potter.
Q_0186,Who's That,Text,WT_06,Who invented the light bulb?,Tesla,Edison,Einstein,Newton,2,Thomas Edison invented the bulb.
Q_0187,Who's That,Text,WT_07,Who discovered gravity?,Newton,Einstein,Galileo,Darwin,1,Isaac Newton discovered gravity.
Q_0188,Who's That,Text,WT_08,Who is the founder of Facebook?,Mark Zuckerberg,Steve Jobs,Elon Musk,Bill Gates,1,Mark Zuckerberg founded Facebook.
Q_0189,Who's That,Text,WT_09,Who wrote Romeo and Juliet?,Shakespeare,Austen,Twain,Dickens,1,William Shakespeare wrote Romeo and Juliet.
Q_0190,Who's That,Text,WT_10,Who helped Rama build the bridge to Lanka?,Hanuman,Vibhishana,Nala,Sugriva,3,Nala helped build the bridge to Lanka.
Q_0191,Who's That,Text,WT_11,Who is the CEO of Tesla?,Bezos,Zuckerberg,Gates,Musk,4,Elon Musk is Tesla's CEO.
Q_0192,Who's That,Text,WT_12,Who was the first man to walk on the moon?,Michael Collins,Yuri Gagarin,Buzz Aldrin,Neil Armstrong,4,Neil Armstrong walked first on the moon.
Q_0193,Who's That,Text,WT_13,Who is the author of The Hobbit?,Tolkien,Rowling,Lewis,Martin,1,J.R.R. Tolkien wrote The Hobbit.
Q_0194,Who's That,Text,WT_14,Who is known as the Missile Man of India?,Vikram Sarabhai,APJ Abdul Kalam,Raman,Ambedkar,2,Dr. A.P.J. Abdul Kalam earned the title.
Q_0195,Who's That,Text,WT_15,Who founded Apple?,Gates,Musk,Page,Jobs,4,Steve Jobs co-founded Apple.
Q_0196,Who's That,Text,WT_16,Who discovered penicillin?,Pasteur,Newton,Curie,Fleming,4,Alexander Fleming discovered penicillin.
Q_0197,Who's That,Text,WT_17,Who is known as the Father of Computers?,Bill Gates,Steve Jobs,Alan Turing,Charles Babbage,4,Charles Babbage is known as the Father of Computers.
Q_0198,Who's That,Text,WT_18,Who discovered America?,Columbus,Cook,Vasco da Gama,Magellan,1,Christopher Columbus discovered America.
Q_0199,Who's That,Text,WT_19,Who founded Amazon?,Zuckerberg,Gates,Bezos,Musk,3,Jeff Bezos founded Amazon.
